Date,Garden power consumption in kW,School power consumption in kW,Zoo power consumption in kW
31.12.2016 00:00,10.1,6.1000000000000005,73.0
31.12.2016 00:15,7.816666666666666,5.883333333333333,70.0
31.12.2016 00:30,6.816666666666667,5.966666666666668,71.66666666666667
31.12.2016 00:45,7.55,6.216666666666666,73.0
31.12.2016 01:00,9.15,5.900000000000001,67.0
31.12.2016 01:15,9.616666666666667,6.2,75.66666666666667
31.12.2016 01:30,6.866666666666667,6.383333333333334,69.66666666666667
31.12.2016 01:45,6.75,6.033333333333334,72.66666666666667
31.12.2016 02:00,10.083333333333334,6.183333333333334,71.66666666666667
31.12.2016 02:15,6.95,6.0,71.0
31.12.2016 02:30,9.999999999999998,5.949999999999999,74.33333333333333
31.12.2016 02:45,6.3999999999999995,6.1000000000000005,71.0
31.12.2016 03:00,7.3500000000000005,6.3,72.0
31.12.2016 03:15,9.1,5.983333333333333,69.33333333333333
31.12.2016 03:30,9.216666666666667,6.216666666666668,73.33333333333333
31.12.2016 03:45,8.299999999999999,6.266666666666667,69.66666666666667
31.12.2016 04:00,6.25,6.05,72.0
31.12.2016 04:15,8.549999999999999,5.933333333333334,70.0
31.12.2016 04:30,9.083333333333332,6.116666666666667,73.66666666666667
31.12.2016 04:45,9.183333333333332,5.966666666666666,70.66666666666667
31.12.2016 05:00,8.983333333333333,6.3999999999999995,73.0
31.12.2016 05:15,6.183333333333334,5.95,71.0
31.12.2016 05:30,7.383333333333333,5.916666666666667,70.33333333333333
31.12.2016 05:45,9.483333333333333,5.866666666666666,69.0
31.12.2016 06:00,10.366666666666665,6.233333333333333,71.0
31.12.2016 06:15,8.033333333333333,5.816666666666666,70.33333333333333
31.12.2016 06:30,6.333333333333333,6.05,74.0
31.12.2016 06:45,8.200000000000001,6.316666666666666,70.33333333333333
31.12.2016 07:00,10.633333333333333,5.983333333333333,74.33333333333333
31.12.2016 07:15,9.066666666666666,7.816666666666667,82.66666666666667
31.12.2016 07:30,8.066666666666668,10.766666666666666,87.0
31.12.2016 07:45,8.249999999999998,10.533333333333333,92.66666666666667
31.12.2016 08:00,9.049999999999999,10.766666666666666,95.66666666666667
31.12.2016 08:15,12.216666666666667,10.983333333333334,102.66666666666667
31.12.2016 08:30,10.549999999999999,11.233333333333334,99.0
31.12.2016 08:45,10.1,11.016666666666666,112.0
31.12.2016 09:00,8.416666666666666,10.733333333333334,109.33333333333333
31.12.2016 09:15,10.316666666666668,9.233333333333333,119.66666666666667
31.12.2016 09:30,11.483333333333334,7.233333333333333,121.33333333333333
31.12.2016 09:45,9.799999999999999,6.999999999999999,110.66666666666667
31.12.2016 10:00,8.883333333333333,7.333333333333333,130.0
31.12.2016 10:15,6.5,7.083333333333333,120.0
31.12.2016 10:30,8.633333333333333,6.883333333333333,127.33333333333333
31.12.2016 10:45,10.233333333333334,6.983333333333334,113.66666666666667
31.12.2016 11:00,8.833333333333334,7.133333333333333,121.33333333333333
31.12.2016 11:15,8.216666666666667,8.433333333333332,110.0
31.12.2016 11:30,7.966666666666666,11.183333333333335,109.66666666666667
31.12.2016 11:45,10.65,10.883333333333333,122.0
31.12.2016 12:00,9.616666666666665,10.633333333333333,108.0
31.12.2016 12:15,8.766666666666667,11.299999999999999,112.33333333333333
31.12.2016 12:30,7.25,10.683333333333335,107.33333333333333
31.12.2016 12:45,6.433333333333334,11.016666666666667,105.0
31.12.2016 13:00,6.866666666666667,11.083333333333334,101.33333333333333
31.12.2016 13:15,8.066666666666666,10.833333333333334,104.66666666666667
31.12.2016 13:30,7.316666666666666,9.35,105.66666666666667
31.12.2016 13:45,5.466666666666666,7.2,98.66666666666667
31.12.2016 14:00,5.866666666666667,6.916666666666667,107.0
31.12.2016 14:15,9.333333333333334,6.766666666666667,102.33333333333333
31.12.2016 14:30,6.416666666666667,7.0,97.66666666666667
31.12.2016 14:45,6.283333333333334,7.1000000000000005,100.33333333333333
31.12.2016 15:00,5.533333333333334,6.8999999999999995,103.66666666666667
31.12.2016 15:15,6.216666666666666,7.266666666666667,115.33333333333333
31.12.2016 15:30,8.216666666666667,6.95,105.33333333333333
31.12.2016 15:45,7.666666666666667,6.766666666666666,101.66666666666667
31.12.2016 16:00,6.3999999999999995,7.099999999999999,100.33333333333333
31.12.2016 16:15,5.366666666666667,6.716666666666668,105.66666666666667
31.12.2016 16:30,5.283333333333334,7.033333333333332,106.33333333333333
31.12.2016 16:45,8.133333333333333,6.866666666666666,101.66666666666667
31.12.2016 17:00,10.283333333333333,6.733333333333333,98.33333333333333
31.12.2016 17:15,7.666666666666667,8.283333333333333,92.33333333333333
31.12.2016 17:30,5.766666666666667,10.5,89.66666666666667
31.12.2016 17:45,7.066666666666666,10.683333333333332,87.33333333333333
31.12.2016 18:00,7.166666666666668,10.783333333333333,82.66666666666667
31.12.2016 18:15,10.366666666666667,8.999999999999998,77.66666666666667
31.12.2016 18:30,7.866666666666667,6.966666666666666,79.66666666666667
31.12.2016 18:45,6.166666666666667,6.6499999999999995,76.0
31.12.2016 19:00,7.933333333333333,6.783333333333334,79.33333333333333
31.12.2016 19:15,6.516666666666667,6.916666666666667,76.33333333333333
31.12.2016 19:30,9.200000000000001,6.75,74.0
31.12.2016 19:45,6.133333333333333,7.1499999999999995,76.66666666666667
31.12.2016 20:00,7.5,6.833333333333333,73.66666666666667
31.12.2016 20:15,10.033333333333333,6.783333333333334,76.66666666666667
31.12.2016 20:30,7.3,7.0,76.0
31.12.2016 20:45,6.900000000000001,7.183333333333333,75.0
31.12.2016 21:00,6.300000000000001,6.8500000000000005,73.33333333333333
31.12.2016 21:15,9.683333333333334,8.05,76.0
31.12.2016 21:30,6.1000000000000005,9.633333333333333,75.33333333333333
31.12.2016 21:45,10.049999999999999,9.833333333333334,73.33333333333333
31.12.2016 22:00,6.1000000000000005,9.766666666666667,74.33333333333333
31.12.2016 22:15,7.783333333333334,9.533333333333333,75.0
31.12.2016 22:30,8.066666666666668,9.65,71.66666666666667
31.12.2016 22:45,9.466666666666667,9.95,75.66666666666667
31.12.2016 23:00,8.133333333333333,9.766666666666667,72.0
31.12.2016 23:15,5.683333333333334,8.2,73.0
31.12.2016 23:30,6.733333333333334,6.066666666666666,76.33333333333333
31.12.2016 23:45,9.25,6.183333333333334,75.0
